COG14_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_PATHOGEN	p_COMMENSAL	N_PATHOGEN	N_COMMENSAL
Possible nuclease of RNase H fold, RuvC/YqgF family	16.985170409875423	3.767291961339569e-5	0.04124803804496689	PATHOGEN	COG2433	GC_00000045, GC_00004417, GC_00004980	0.963	0.4211	27	19
Phage regulatory protein Rha	16.571456640205472	4.685087453269074e-5	0.04124803804496689	PATHOGEN	COG3646	GC_00006009, GC_00006274, GC_00006717, GC_00007000, GC_00007025, GC_00007476, GC_00007540, GC_00007575, GC_00007919, GC_00008259, GC_00008470, GC_00009138, GC_00009200, GC_00010050, GC_00010481, GC_00011214, GC_00011360, GC_00011674, GC_00012041	0.8148	0.2105	27	19
Transposase (or an inactivated derivative)	16.14709995846981	5.860823697130146e-5	0.04124803804496689	PATHOGEN	COG3316	GC_00003869, GC_00004390, GC_00005172, GC_00005983, GC_00006227, GC_00007052, GC_00007586, GC_00007657, GC_00007675, GC_00008444, GC_00008879, GC_00008896	0.8889	0.3158	27	19
Chromosome segregation ATPase!!!Phage-related minor tail protein	15.588122938689652	7.874768622559544e-5	0.04124803804496689	PATHOGEN	COG1196!!!COG5281	GC_00004309	0.6296	0.0526	27	19
ATP-dependent protease ClpP, protease subunit!!!Mu-like prophage major head subunit gpT	15.588122938689652	7.874768622559544e-5	0.04124803804496689	PATHOGEN	COG0740!!!COG4397	GC_00004412, GC_00008872	0.6296	0.0526	27	19
Prophage antirepressor	15.153996101364525	9.908837169125554e-5	0.043252074243233046	PATHOGEN	COG3617	GC_00004359, GC_00005625, GC_00005700, GC_00006167, GC_00007182, GC_00007355, GC_00007893, GC_00008610, GC_00008906, GC_00009420, GC_00010186, GC_00010194, GC_00010274, GC_00010796, GC_00011282, GC_00011359	0.7407	0.1579	27	19
DNA modification methylase!!!Adenine specific DNA methylase Mod	14.463342753913164	1.429138511044834e-4	0.053470196577520286	PATHOGEN	COG0863!!!COG2189	GC_00003554, GC_00010713	0.7778	0.2105	27	19
Predicted TIM-barrel enzyme	14.02159037598375	1.8072356881162227e-4	0.059164378339704844	COMMENSAL	COG0434	GC_00004766	0.0741	0.5789	27	19
Post-segregation antitoxin (ccd killing mechanism protein) encoded by the F plasmid	13.754949119059667	2.0827136011193672e-4	0.06060696579257358	PATHOGEN	COG5302	GC_00004009, GC_00004602	0.8519	0.3158	27	19
Type III secretory pathway, component EscV	12.751964226636133	3.5563549231490665e-4	0.08950633237101467	PATHOGEN	COG4789	GC_00005214, GC_00005227	0.4815	0	27	19
Predicted phage recombinase, RecA/RadA family	12.648170255724244	3.7593343111155456e-4	0.08950633237101467	PATHOGEN	COG5471	GC_00004372, GC_00005113, GC_00010736	0.6296	0.1053	27	19
Uncharacterized conserved protein	11.829710815615767	5.829304694694419e-4	0.09445441073152085	PATHOGEN	COG1704	GC_00004241, GC_00004798, GC_00005314, GC_00006108, GC_00006441, GC_00007950, GC_00009215, GC_00009266, GC_00011990	0.9259	0.4737	27	19
Predicted DNA-binding protein with PD1-like DNA-binding motif	11.829710815615767	5.829304694694419e-4	0.09445441073152085	PATHOGEN	COG1661	GC_00003675	0.9259	0.4737	27	19
Energy-coupling factor transporter ATP-binding protein EcfA2	11.829710815615767	5.829304694694419e-4	0.09445441073152085	PATHOGEN	COG1122	GC_00003673	0.9259	0.4737	27	19
Phage-related tail protein	11.829710815615767	5.829304694694419e-4	0.09445441073152085	PATHOGEN	COG5283	GC_00004190, GC_00004673, GC_00005275, GC_00005809, GC_00006964, GC_00007591, GC_00007872, GC_00008272, GC_00010208, GC_00010739, GC_00010807, GC_00010971, GC_00011943	0.9259	0.4737	27	19
Energy-coupling factor transporter transmembrane protein EcfT	11.829710815615767	5.829304694694419e-4	0.09445441073152085	PATHOGEN	COG0619	GC_00003687	0.9259	0.4737	27	19
Type III secretory pathway, lipoprotein EscJ	11.634887224103707	6.472626680379761e-4	0.09445441073152085	PATHOGEN	COG4669	GC_00004463, GC_00005139	0.6667	0.1579	27	19
tRNA A58 N-methylase Trm61	11.528870692211608	6.852362748754853e-4	0.09445441073152085	COMMENSAL	COG2519	GC_00004690	0.1111	0.5789	27	19
Uncharacterized protein YjhX, UPF0386 family	11.528870692211608	6.852362748754853e-4	0.09445441073152085	COMMENSAL	COG3811	GC_00004694	0.1111	0.5789	27	19
Sucrose-6-phosphate hydrolase SacC, GH32 family	10.84990252962692	9.8800957348421e-4	0.12321890823595934	PATHOGEN	COG1621	GC_00004464, GC_00005417, GC_00008531	0.7037	0.2105	27	19
Bacteriophage head-tail adaptor	10.84990252962692	9.8800957348421e-4	0.12321890823595934	PATHOGEN	COG5614	GC_00003492, GC_00005845, GC_00006544, GC_00006872, GC_00010776	0.7037	0.2105	27	19
Uncharacterized conserved protein, contains ParB-like and HNH nuclease domains	9.817926885754803	0.0017281903036738982	0.17691060425934155	PATHOGEN	COG1479	GC_00004099, GC_00006901, GC_00007729, GC_00009044, GC_00009258, GC_00009758, GC_00010690, GC_00010975, GC_00011034, GC_00011120, GC_00011838	0.7778	0.3158	27	19
Uncharacterized conserved protein RhaS, contains 28 RHS repeats!!!Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, incolved in TypeVI secretion	9.817926885754803	0.0017281903036738982	0.17691060425934155	PATHOGEN	COG3209!!!COG4104	GC_00004005, GC_00005764, GC_00006244, GC_00007257, GC_00008049, GC_00011443	0.7778	0.3158	27	19
Phage terminase, large subunit GpA	9.805347994533776	0.0017400510649835449	0.17691060425934155	PATHOGEN	COG5525	GC_00003470, GC_00003664, GC_00004285, GC_00004479, GC_00004933, GC_00007016, GC_00007106, GC_00008409, GC_00010324, GC_00010568	1	0.6842	27	19
UDP-galactopyranose mutase	9.805347994533776	0.0017400510649835449	0.17691060425934155	COMMENSAL	COG0562	GC_00006334, GC_00010031	0	0.3158	27	19
WGR domain, predicted DNA-binding domain in MolR!!!Uncharacterized conserved protein YfeS, contains WGR domain	9.788285141562806	0.0017562717490427185	0.17691060425934155	COMMENSAL	COG3831!!!COG4884	GC_00005014	0.0741	0.4737	27	19
Phage protein U	9.418294616188552	0.00214831224247971	0.19369714323129691	PATHOGEN	COG3499	GC_00004456, GC_00004758, GC_00005280, GC_00006534, GC_00006948, GC_00008010, GC_00008031, GC_00009759, GC_00012026	0.8519	0.4211	27	19
Type III secretory pathway, component EscR	9.299062525812912	0.0022927115082742285	0.19369714323129691	PATHOGEN	COG4790	GC_00004394, GC_00005132	0.6667	0.2105	27	19
Type III secretory pathway, component EscS	9.299062525812912	0.0022927115082742285	0.19369714323129691	PATHOGEN	COG4794	GC_00004369, GC_00005136	0.6667	0.2105	27	19
Type III secretory pathway, component EscT	9.299062525812912	0.0022927115082742285	0.19369714323129691	PATHOGEN	COG4791	GC_00004148, GC_00005182	0.6667	0.2105	27	19
DNA modification methylase!!!tRNA G10  N-methylase Trm11	9.299062525812912	0.0022927115082742285	0.19369714323129691	PATHOGEN	COG0863!!!COG1041	GC_00004094, GC_00004302, GC_00008240, GC_00008888	0.6667	0.2105	27	19
Type III secretory pathway, component EscU	8.991770015487337	0.0027119819156375333	0.21523274657741515	PATHOGEN	COG4792	GC_00005180	0.3704	0	27	19
Glycosylphosphatidylinositol transamidase (GPIT), subunit GPI8	8.991770015487337	0.0027119819156375333	0.21523274657741515	PATHOGEN	COG5206	GC_00004272	0.3704	0	27	19
Adenine-specific DNA methylase	8.52441829255487	0.003504127350234225	0.2591505807816674	PATHOGEN	COG0827	GC_00000098, GC_00004467, GC_00005949, GC_00006131, GC_00007272, GC_00009296, GC_00011770, GC_00012160	0.963	0.6316	27	19
N6-adenosine-specific RNA methylase IME4	8.444665610726549	0.003661157498633713	0.2591505807816674	PATHOGEN	COG4725	GC_00006903, GC_00007084, GC_00007830, GC_00009232, GC_00011327, GC_00011970	0.4444	0.0526	27	19
Methylmalonyl-CoA mutase, C-terminal domain/subunit (cobalamin-binding)	8.444665610726549	0.003661157498633713	0.2591505807816674	PATHOGEN	COG2185	GC_00004802	0.4444	0.0526	27	19
LD-carboxypeptidase LdcB, LAS superfamily	8.444665610726549	0.003661157498633713	0.2591505807816674	PATHOGEN	COG1876	GC_00004498	0.4444	0.0526	27	19
Type IV secretory pathway, VirD2 components (relaxase)	8.395978029704555	0.003760521252835953	0.2591790831888779	PATHOGEN	COG3843	GC_00005952, GC_00006039, GC_00008670, GC_00009670, GC_00010355, GC_00011736, GC_00011873	0.5185	0.1053	27	19
mRNA-degrading endonuclease (mRNA interferase) YafQ, toxin component of the YafQ-DinJ toxin-antitoxin module	8.19503808277813	0.004200511256700084	0.2820804866999364	COMMENSAL	COG3041	GC_00004402, GC_00008454	0.2593	0.6842	27	19
Putative SOS response-associated peptidase YedK	7.971824921843096	0.004751101637065069	0.29853076220989144	PATHOGEN	COG2135	GC_00003463, GC_00011109	1	0.7368	27	19
Flagellar biosynthesis protein FliR	7.971824921843096	0.004751101637065069	0.29853076220989144	PATHOGEN	COG1684	GC_00003501, GC_00005940	1	0.7368	27	19
Predicted restriction endonuclease	7.895108141416882	0.004956867428454665	0.29853076220989144	PATHOGEN	COG3440	GC_00004411, GC_00008267, GC_00008494, GC_00009671, GC_00010699, GC_00012086	0.6296	0.2105	27	19
Uncharacterized conserved protein YjdB, contains Ig-like domain	7.892160934008638	0.004964950963928171	0.29853076220989144	PATHOGEN	COG5492	GC_00000171, GC_00003453, GC_00004344, GC_00005228, GC_00007091, GC_00008603	0.9259	0.5789	27	19
RecA-family ATPase	7.873874398303469	0.005015407994362437	0.29853076220989144	PATHOGEN	COG3598	GC_00005882, GC_00009898, GC_00010753, GC_00011300	0.3333	0	27	19
Phage tail tube protein FII	7.622579969525943	0.005764196629020533	0.3316904352828737	PATHOGEN	COG3498	GC_00004461, GC_00004598, GC_00005247, GC_00006355, GC_00008499, GC_00010241, GC_00011111	0.8148	0.4211	27	19
Uncharacterized conserved protein YegJ, DUF2314 family	7.603411666583716	0.005825796114170366	0.3316904352828737	COMMENSAL	COG3779	GC_00004882	0.1111	0.4737	27	19
Phage tail sheath protein FI	7.532968981107673	0.006057999129851459	0.3375723344910845	PATHOGEN	COG3497	GC_00004473, GC_00004583, GC_00005281, GC_00006387, GC_00007808, GC_00007907, GC_00008299, GC_00010475, GC_00010741	0.8519	0.4737	27	19
Large exoprotein involved in heme utilization or adhesion	7.40406595548804	0.0065076623357054695	0.3408713531442525	PATHOGEN	COG3210	GC_00005261, GC_00005465, GC_00005525, GC_00005721, GC_00006802, GC_00006955, GC_00007058	0.5556	0.1579	27	19
Type I site-specific restriction endonuclease, part of a restriction-modification system	7.40406595548804	0.0065076623357054695	0.3408713531442525	PATHOGEN	COG4096	GC_00004648, GC_00008741, GC_00010197	0.5556	0.1579	27	19
Phage-related minor tail protein	7.40406595548804	0.0065076623357054695	0.3408713531442525	PATHOGEN	COG5281	GC_00003618, GC_00006865, GC_00007036, GC_00010112, GC_00012082	0.5556	0.1579	27	19
Uncharacterized conserved protein YfdQ, DUF2303 family	7.263157894698377	0.00703834227392661	0.35695890330830266	PATHOGEN	COG5532	GC_00003898, GC_00010835	0.6667	0.2632	27	19
Predicted NAD-dependent protein-ADP-ribosyltransferase YbiA, DUF1768 family	7.182945648527086	0.007359977387800025	0.35695890330830266	COMMENSAL	COG3236	GC_00003809, GC_00007389, GC_00010691	0.5185	0.8947	27	19
Phage-related protein, tail component!!!Uncharacterized conserved protein YjdB, contains Ig-like domain	7.182945648527083	0.007359977387800054	0.35695890330830266	PATHOGEN	COG4733!!!COG5492	GC_00003546	0.4815	0.1053	27	19
Phage head maturation protease!!!Predicted phage phi-C31 gp36 major capsid-like protein	7.182945648527083	0.007359977387800054	0.35695890330830266	PATHOGEN	COG3740!!!COG4653	GC_00003525	0.4815	0.1053	27	19
Ribose 5-phosphate isomerase RpiB	6.814815333727367	0.009040465193925965	0.37634536923107537	COMMENSAL	COG0698	GC_00003757, GC_00005771, GC_00006776, GC_00008773	0.7037	1	27	19
ATP-dependent exoDNAse (exonuclease V), alpha subunit, helicase superfamily I!!!Superfamily I DNA and/or RNA helicase	6.814815333727363	0.00904046519392596	0.37634536923107537	PATHOGEN	COG0507!!!COG1112	GC_00004632	0.2963	0	27	19
Stress response protein SCP2!!!Uncharacterized protein involved in tellurium resistance	6.814815333727363	0.00904046519392596	0.37634536923107537	PATHOGEN	COG2310!!!COG4110	GC_00005305	0.2963	0	27	19
Secreted protein containing bacterial Ig-like domain and vWFA domain!!!Stress response protein SCP2	6.814815333727363	0.00904046519392596	0.37634536923107537	PATHOGEN	COG2304!!!COG2310	GC_00005365	0.2963	0	27	19
Stress response protein SCP2	6.814815333727363	0.00904046519392596	0.37634536923107537	PATHOGEN	COG2310	GC_00005286, GC_00005292, GC_00005294, GC_00012152	0.2963	0	27	19
Gentisate 1,2-dioxygenase	6.814815333727363	0.00904046519392596	0.37634536923107537	PATHOGEN	COG3435	GC_00005516	0.2963	0	27	19
Accessory colonization factor AcfC, contains ABC-type periplasmic domain	6.814815333727363	0.00904046519392596	0.37634536923107537	PATHOGEN	COG4588	GC_00005460	0.2963	0	27	19
Predicted chitinase	6.814815333727363	0.00904046519392596	0.37634536923107537	PATHOGEN	COG3179	GC_00005939, GC_00009784, GC_00011878	0.2963	0	27	19
Uncharacterized protein CbrC, UPF0167 family	6.763746416449866	0.009302824975144166	0.37634536923107537	COMMENSAL	COG3196	GC_00004208	0.2963	0.6842	27	19
5-methylcytosine-specific restriction endonuclease McrBC, GTP-binding regulatory subunit McrB	6.716606615095076	0.009551920052154276	0.37634536923107537	COMMENSAL	COG1401	GC_00005830, GC_00011626	0.037	0.3158	27	19
Bacteriophage capsid protein	6.716606615095068	0.009551920052154312	0.37634536923107537	PATHOGEN	COG5511	GC_00002727, GC_00003536, GC_00004098, GC_00004226, GC_00006606, GC_00008889, GC_00010094, GC_00010314, GC_00010452, GC_00011167	0.963	0.6842	27	19
Type II secretory pathway, component ExeA (predicted ATPase)!!!Peptidoglycan-binding (PGRP) domain of peptidoglycan hydrolases	6.624441448808504	0.010058868211598002	0.37634536923107537	COMMENSAL	COG3267!!!COG3409	GC_00003960	0.4074	0.7895	27	19
Chitodextrinase	6.624441448808504	0.010058868211598002	0.37634536923107537	COMMENSAL	COG3979	GC_00003968	0.4074	0.7895	27	19
Phage antirepressor protein YoqD, KilAC domain!!!Phage regulatory protein Rha	6.624441448808495	0.010058868211598043	0.37634536923107537	PATHOGEN	COG3645!!!COG3646	GC_00004308, GC_00007560, GC_00009056, GC_00011220	0.5926	0.2105	27	19
Uncharacterized conserved protein, contains ParB-like and HNH nuclease domains!!!Predicted transport protein	6.624441448808495	0.010058868211598043	0.37634536923107537	PATHOGEN	COG1479!!!COG3586	GC_00003966	0.5926	0.2105	27	19
Uncharacterized conserved protein, DUF1778 family	6.624441448808495	0.010058868211598043	0.37634536923107537	PATHOGEN	COG4453	GC_00004685, GC_00005657, GC_00006048, GC_00008105	0.5926	0.2105	27	19
Putative heme iron utilization protein	6.376679196081579	0.011562958430339311	0.38714903174399945	PATHOGEN	COG3721	GC_00003947	0.7407	0.3684	27	19
ABC-type hemin transport system, ATPase component	6.376679196081579	0.011562958430339311	0.38714903174399945	PATHOGEN	COG4559	GC_00003951	0.7407	0.3684	27	19
Putative heme degradation protein	6.376679196081579	0.011562958430339311	0.38714903174399945	PATHOGEN	COG3720	GC_00003958	0.7407	0.3684	27	19
ABC-type hemin transport system, periplasmic component	6.376679196081579	0.011562958430339311	0.38714903174399945	PATHOGEN	COG4558	GC_00003956	0.7407	0.3684	27	19
Phage terminase-like protein, large subunit, contains N-terminal HTH domain	6.376679196081579	0.011562958430339311	0.38714903174399945	PATHOGEN	COG4626	GC_00003583, GC_00005405, GC_00005506, GC_00005931, GC_00006934, GC_00010820	0.7407	0.3684	27	19
Flagellar hook-basal body complex protein FliE	6.225605689719812	0.012591582889337738	0.38714903174399945	PATHOGEN	COG1677	GC_00003442, GC_00005897	1	0.7895	27	19
DNA-binding transcriptional regulator YdaS, prophage-encoded, Cro superfamily	6.225605689719812	0.012591582889337738	0.38714903174399945	PATHOGEN	COG4197	GC_00004131, GC_00005001, GC_00005007, GC_00005232, GC_00005710, GC_00005744, GC_00006045, GC_00006070, GC_00008135, GC_00008570, GC_00009304, GC_00009333, GC_00009407, GC_00010247, GC_00010772	1	0.7895	27	19
DNA-directed RNA polymerase specialized sigma subunit	6.225605689719812	0.012591582889337738	0.38714903174399945	PATHOGEN	COG1191	GC_00003438, GC_00005908	1	0.7895	27	19
Flagellin-specific chaperone FliS	6.225605689719812	0.012591582889337738	0.38714903174399945	PATHOGEN	COG1516	GC_00003441, GC_00005885	1	0.7895	27	19
Flagellar biosynthesis/type III secretory pathway ATPase	6.225605689719812	0.012591582889337738	0.38714903174399945	PATHOGEN	COG1157	GC_00003484, GC_00005060, GC_00005183, GC_00005901	1	0.7895	27	19
Predicted mannosyl-3-phosphoglycerate phosphatase, HAD superfamily	6.225605689719812	0.012591582889337738	0.38714903174399945	PATHOGEN	COG3769	GC_00003428	1	0.7895	27	19
Flagellar motor switch/type III secretory pathway protein FliN	6.225605689719812	0.012591582889337738	0.38714903174399945	PATHOGEN	COG1886	GC_00003488, GC_00004046, GC_00005701	1	0.7895	27	19
Flagellar capping protein FliD	6.225605689719812	0.012591582889337738	0.38714903174399945	PATHOGEN	COG1345	GC_00003711, GC_00005925, GC_00006546, GC_00006953	1	0.7895	27	19
Uncharacterized conserved protein YgbK, DUF1537 family	6.188182434430717	0.012860620756673505	0.38714903174399945	COMMENSAL	COG3395	GC_00003666, GC_00004661	0.6296	0.9474	27	19
Methylaspartate ammonia-lyase	6.188182434430713	0.01286062075667352	0.38714903174399945	PATHOGEN	COG3799	GC_00004971	0.3704	0.0526	27	19
Glutamate mutase epsilon subunit	6.188182434430713	0.01286062075667352	0.38714903174399945	PATHOGEN	COG4865	GC_00005036	0.3704	0.0526	27	19
Predicted amidohydrolase YtcJ	6.188182434430713	0.01286062075667352	0.38714903174399945	PATHOGEN	COG1574	GC_00005031	0.3704	0.0526	27	19
Phage portal protein BeeE	6.139946827041893	0.013216128749838386	0.38891057523400824	PATHOGEN	COG4695	GC_00000084, GC_00004761, GC_00004892, GC_00004946, GC_00005561, GC_00005943, GC_00006644, GC_00007259, GC_00007691, GC_00009601, GC_00011467	0.9259	0.6316	27	19
Cell wall-associated hydrolase, NlpC family!!!Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif	6.139946827041893	0.013216128749838386	0.38891057523400824	PATHOGEN	COG0791!!!COG1310	GC_00000008, GC_00012135	0.9259	0.6316	27	19
Uncharacterized conserved protein, contains DUF3084 domain	6.091099985492147	0.013586447662091909	0.3910209497474583	PATHOGEN	COG4372	GC_00000015, GC_00000079, GC_00004438, GC_00004959, GC_00007999	0.7778	0.4211	27	19
Transposase!!!Transposase	6.091099985492147	0.013586447662091909	0.3910209497474583	PATHOGEN	COG3464!!!COG4584	GC_00003706, GC_00005076, GC_00005128, GC_00006367, GC_00006696, GC_00008867, GC_00010684	0.7778	0.4211	27	19
Predicted component of the type VI protein secretion system, contains a FHA domain	6.002367580167309	0.01428669369935998	0.40233172901746006	PATHOGEN	COG3456	GC_00004730, GC_00005620	0.6296	0.2632	27	19
Hemolysin activation/secretion protein	6.002367580167309	0.01428669369935998	0.40233172901746006	PATHOGEN	COG2831	GC_00004953, GC_00005009, GC_00005752, GC_00007531, GC_00011977	0.6296	0.2632	27	19
Predicted phosphohydrolase, MPP superfamily	5.829299670730126	0.015761396840441946	0.4051742455654343	COMMENSAL	COG1408	GC_00004794	0.1481	0.4737	27	19
Urease alpha subunit	5.810066927268597	0.015934687779014734	0.4051742455654343	PATHOGEN	COG0804	GC_00005519	0.2593	0	27	19
Urease accessory protein UreH	5.810066927268597	0.015934687779014734	0.4051742455654343	PATHOGEN	COG0829	GC_00005494	0.2593	0	27	19
Urease beta subunit	5.810066927268597	0.015934687779014734	0.4051742455654343	PATHOGEN	COG0832	GC_00005522	0.2593	0	27	19
Predicted ABC-type sugar transport system, permease component	5.810066927268597	0.015934687779014734	0.4051742455654343	PATHOGEN	COG4158	GC_00005881	0.2593	0	27	19
Urease gamma subunit	5.810066927268597	0.015934687779014734	0.4051742455654343	PATHOGEN	COG0831	GC_00005471	0.2593	0	27	19
CheY chemotaxis protein or a CheY-like REC (receiver) domain!!!Signal transduction histidine kinase regulating C4-dicarboxylate transport system!!!Signal transduction histidine kinase regulating phosphoglycerate transport system	5.810066927268597	0.015934687779014734	0.4051742455654343	PATHOGEN	COG0784!!!COG4191!!!COG4192	GC_00005755	0.2593	0	27	19
Urease accessory protein UreE	5.810066927268597	0.015934687779014734	0.4051742455654343	PATHOGEN	COG2371	GC_00005466	0.2593	0	27	19
Urease accessory protein UreF	5.810066927268597	0.015934687779014734	0.4051742455654343	PATHOGEN	COG0830	GC_00005441	0.2593	0	27	19
2-keto-3-deoxy-galactonokinase	5.810066927268593	0.01593468777901479	0.4051742455654343	COMMENSAL	COG3734	GC_00003548, GC_00004248	0.7407	1	27	19
Alpha-mannosidase	5.502392717031868	0.018990471881483034	0.4782312101692699	COMMENSAL	COG0383	GC_00004134, GC_00008728	0.3333	0.6842	27	19
ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain	5.476078116960025	0.019278465703572896	0.4808600159776896	PATHOGEN	COG2274	GC_00005421, GC_00005772, GC_00005807, GC_00005911, GC_00006879	0.5556	0.2105	27	19
Acyl CoA:acetate/3-ketoacid CoA transferase, beta subunit	5.165002153380273	0.023046429071287285	0.5463277241029227	COMMENSAL	COG2057	GC_00003696, GC_00007132	0.6667	0.9474	27	19
Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit	5.165002153380273	0.023046429071287285	0.5463277241029227	COMMENSAL	COG1788	GC_00003697, GC_00007552	0.6667	0.9474	27	19
Endonuclease YncB, thermonuclease family	5.147726131922702	0.023276835074345463	0.5463277241029227	PATHOGEN	COG1525	GC_00004672, GC_00008561, GC_00010544, GC_00010647, GC_00010811	0.4815	0.1579	27	19
Muramidase (phage lambda lysozyme)	5.1014613097608486	0.023905695729322732	0.5463277241029227	PATHOGEN	COG4678	GC_00003935, GC_00004956, GC_00005086	0.7037	0.3684	27	19
Fic family protein	5.1014613097608486	0.023905695729322732	0.5463277241029227	PATHOGEN	COG3177	GC_00004054, GC_00008396	0.7037	0.3684	27	19
D-lyxose ketol-isomerase	5.1014613097608486	0.023905695729322732	0.5463277241029227	PATHOGEN	COG3822	GC_00004327, GC_00005732	0.7037	0.3684	27	19
Autotransporter adhesin	5.027420510035693	0.024949030152886645	0.5463277241029227	PATHOGEN	COG5295	GC_00004572, GC_00004631, GC_00006343, GC_00006657, GC_00006919, GC_00006998, GC_00007305, GC_00007563, GC_00008111, GC_00008895, GC_00008909, GC_00008916, GC_00009181, GC_00009247, GC_00009469, GC_00010966, GC_00011894	0.963	0.7368	27	19
Phage-related protein, tail component	5.027420510035693	0.024949030152886645	0.5463277241029227	PATHOGEN	COG4723	GC_00000054, GC_00000060, GC_00003938, GC_00004006, GC_00004491, GC_00004657, GC_00005253, GC_00005493, GC_00006314, GC_00006347, GC_00007110, GC_00007749, GC_00008900, GC_00010769, GC_00010842, GC_00010951, GC_00012021	0.963	0.7368	27	19
Phage-related protein	5.027420510035693	0.024949030152886645	0.5463277241029227	PATHOGEN	COG4672	GC_00000007, GC_00000036, GC_00003591, GC_00004429, GC_00004704, GC_00006809, GC_00006816, GC_00007944, GC_00008216, GC_00010163, GC_00010346, GC_00010438, GC_00011030, GC_00011731, GC_00012142	0.963	0.7368	27	19
CDP-glycerol glycerophosphotransferase, TagB/SpsB family	5.027420510035688	0.02494903015288665	0.5463277241029227	COMMENSAL	COG1887	GC_00007216, GC_00009561, GC_00010042, GC_00010347	0.037	0.2632	27	19
Short chain fatty acids transporter	5.02165737625234	0.025032198126136166	0.5463277241029227	COMMENSAL	COG2031	GC_00003693	0.5926	0.8947	27	19
Propanediol utilization protein	5.021657376252339	0.025032198126136204	0.5463277241029227	PATHOGEN	COG4869	GC_00006307, GC_00006565, GC_00007157	0.4074	0.1053	27	19
Ca2+-binding protein, RTX toxin-related	5.021657376252339	0.025032198126136204	0.5463277241029227	PATHOGEN	COG2931	GC_00005633, GC_00005888	0.4074	0.1053	27	19
Tellurite resistance protein	5.021657376252339	0.025032198126136204	0.5463277241029227	PATHOGEN	COG3793	GC_00003685, GC_00005299, GC_00007581	0.4074	0.1053	27	19
ACP:hemolysin acyltransferase (hemolysin-activating protein)	5.021657376252339	0.025032198126136204	0.5463277241029227	PATHOGEN	COG2994	GC_00005682, GC_00005895	0.4074	0.1053	27	19
Uncharacterized protein YhfF	4.87816205374459	0.027198565589550482	0.5638468077091092	PATHOGEN	COG4405	GC_00004229	0.5926	0.2632	27	19
TRAP-type C4-dicarboxylate transport system, large permease component	4.855555892298192	0.027557232297352404	0.5638468077091092	COMMENSAL	COG1593	GC_00003567, GC_00004472, GC_00004696, GC_00005434, GC_00005521, GC_00006489	0.7778	1	27	19
Predicted amino acid racemase	4.855555892298192	0.027557232297352404	0.5638468077091092	COMMENSAL	COG3457	GC_00003551	0.7778	1	27	19
TRAP-type C4-dicarboxylate transport system, small permease component	4.855555892298192	0.027557232297352404	0.5638468077091092	COMMENSAL	COG3090	GC_00004110, GC_00004432, GC_00004522, GC_00004688, GC_00005584, GC_00005900, GC_00006424	0.7778	1	27	19
Predicted metal-dependent hydrolase, phosphotriesterase family	4.855555892298192	0.027557232297352404	0.5638468077091092	COMMENSAL	COG1735	GC_00003535, GC_00004165	0.7778	1	27	19
TRAP-type C4-dicarboxylate transport system, periplasmic component	4.855555892298192	0.027557232297352404	0.5638468077091092	COMMENSAL	COG1638	GC_00003528, GC_00004460, GC_00004930, GC_00005544, GC_00005804, GC_00006514, GC_00006654, GC_00007416	0.7778	1	27	19
Peptidoglycan-binding (PGRP) domain of peptidoglycan hydrolases	4.855555892298191	0.027557232297352414	0.5638468077091092	PATHOGEN	COG3409	GC_00007008, GC_00009276, GC_00010396	0.2222	0	27	19
Uncharacterized conserved protein, LabA/DUF88 family	4.855555892298191	0.027557232297352414	0.5638468077091092	PATHOGEN	COG1432	GC_00006509, GC_00010492	0.2222	0	27	19
Phage terminase, small subunit	4.7851728097575235	0.028705767204101767	0.5783108023657118	PATHOGEN	COG3728	GC_00003653, GC_00005623, GC_00005719, GC_00005868, GC_00007001, GC_00007068, GC_00007150, GC_00008020, GC_00008086, GC_00011394, GC_00011826	0.7407	0.4211	27	19
P2-like prophage tail protein X	4.7851728097575235	0.028705767204101767	0.5783108023657118	PATHOGEN	COG5004	GC_00004900, GC_00004947, GC_00005129, GC_00006398, GC_00007959, GC_00010409, GC_00011194	0.7407	0.4211	27	19
Spore maturation protein SpmB (function unknown)	4.560607182242673	0.032715472971081044	0.590909129043184	PATHOGEN	COG0700	GC_00003359	1	0.8421	27	19
Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB	4.560607182242673	0.032715472971081044	0.590909129043184	PATHOGEN	COG1775	GC_00003404	1	0.8421	27	19
Uncharacterized protein YjiK	4.560607182242673	0.032715472971081044	0.590909129043184	PATHOGEN	COG3204	GC_00003415, GC_00005216	1	0.8421	27	19
Activator of 2-hydroxyglutaryl-CoA dehydratase (HSP70-class ATPase domain)	4.560607182242673	0.032715472971081044	0.590909129043184	PATHOGEN	COG1924	GC_00003419	1	0.8421	27	19
HD superfamily phosphodieaserase, includes HD domain of RNase Y	4.560607182242673	0.032715472971081044	0.590909129043184	PATHOGEN	COG1418	GC_00003423	1	0.8421	27	19
